hotel_id,city,aspect,period,prev_period,delta_q,mentions,prev_mentions,period_pos,n_periods_hotel_aspect
00795a8b6ae87c5d,Barcelona,location,2016Q4,2016Q3,0.13756511672776384,63,132,5,9
00795a8b6ae87c5d,Barcelona,location,2017Q1,2016Q4,-0.17643835616438364,15,63,6,9
00795a8b6ae87c5d,Barcelona,location,2017Q2,2017Q1,0.08380952380952378,74,15,7,9
00795a8b6ae87c5d,Barcelona,location,2017Q3,2017Q2,0.12836438923395455,36,74,8,9
00795a8b6ae87c5d,Barcelona,noise,2015Q4,2015Q3,-0.08333333333333326,4,14,1,9
00795a8b6ae87c5d,Barcelona,noise,2016Q1,2015Q4,-0.1428571428571429,4,4,2,9
00795a8b6ae87c5d,Barcelona,noise,2016Q2,2016Q1,0.3928571428571429,14,4,3,9
00795a8b6ae87c5d,Barcelona,noise,2016Q3,2016Q2,-0.4852941176470589,24,14,4,9
00795a8b6ae87c5d,Barcelona,noise,2016Q4,2016Q3,0.1876750700280112,11,24,5,9
00795a8b6ae87c5d,Barcelona,noise,2017Q1,2016Q4,-0.0293040293040292,3,11,6,9
00795a8b6ae87c5d,Barcelona,noise,2017Q2,2017Q1,0.17692307692307696,10,3,7,9
00795a8b6ae87c5d,Barcelona,noise,2017Q3,2017Q2,-0.16666666666666674,5,10,8,9
00795a8b6ae87c5d,Barcelona,room,2015Q4,2015Q3,-0.24572649572649574,42,62,1,9
00795a8b6ae87c5d,Barcelona,room,2016Q1,2015Q4,0.19370629370629366,45,42,2,9
00795a8b6ae87c5d,Barcelona,room,2016Q2,2016Q1,0.03133462282398458,84,45,3,9
00795a8b6ae87c5d,Barcelona,room,2016Q3,2016Q2,-0.23375886524822698,140,84,4,9
00795a8b6ae87c5d,Barcelona,room,2016Q4,2016Q3,0.10385964912280699,66,140,5,9
00795a8b6ae87c5d,Barcelona,room,2017Q1,2016Q4,-0.10526315789473673,28,66,6,9
00795a8b6ae87c5d,Barcelona,room,2017Q2,2017Q1,0.11826625386996903,75,28,7,9
00795a8b6ae87c5d,Barcelona,room,2017Q3,2017Q2,0.04177671068427369,39,75,8,9
00795a8b6ae87c5d,Barcelona,service,2015Q4,2015Q3,0.015037593984962516,28,25,1,9
00795a8b6ae87c5d,Barcelona,service,2016Q1,2015Q4,0.24751066856330017,27,28,2,9
00795a8b6ae87c5d,Barcelona,service,2016Q2,2016Q1,-0.19707207207207222,38,27,3,9
00795a8b6ae87c5d,Barcelona,service,2016Q3,2016Q2,0.125,59,38,4,9
00795a8b6ae87c5d,Barcelona,service,2016Q4,2016Q3,0.04444444444444451,35,59,5,9
00795a8b6ae87c5d,Barcelona,service,2017Q1,2016Q4,-0.21988304093567246,9,35,6,9
00795a8b6ae87c5d,Barcelona,service,2017Q2,2017Q1,0.11133603238866385,42,9,7,9
00795a8b6ae87c5d,Barcelona,service,2017Q3,2017Q2,-0.0692307692307692,20,42,8,9
00795a8b6ae87c5d,Barcelona,value,2015Q4,2015Q3,-0.24,15,10,1,9
00795a8b6ae87c5d,Barcelona,value,2016Q1,2015Q4,0.349090909090909,12,15,2,9
00795a8b6ae87c5d,Barcelona,value,2016Q2,2016Q1,-0.15047021943573669,19,12,3,9
