hotel_id,city,aspect,period,prev_period,delta_q,mentions,prev_mentions,period_pos,n_periods_hotel_aspect,pre_ok_index,post_ok_index,pre_present,post_present,has_2pre_2post,peer_count,improving_peer_count,peer_exposure,mean_peer_delta,max_peer_delta,peer_set_available
05abf8a796dc7630,Milan,cleanliness,2016Q3,2016Q2,0.2674418604651163,33,10,4,9,True,True,2,2,True,9,2,0.2222222222222222,-0.01382863608555867,0.36714975845410613,True
05abf8a796dc7630,Milan,noise,2016Q2,2016Q1,0.20909090909090922,10,1,3,9,True,True,2,2,True,9,0,0.0,-0.044159078484021265,0.07692307692307687,True
05abf8a796dc7630,Milan,room,2016Q2,2016Q1,0.43853820598006643,33,18,3,9,True,True,2,2,True,9,2,0.2222222222222222,-0.03416818689446642,0.26114045780847883,True
05abf8a796dc7630,Milan,room,2017Q1,2016Q4,0.18461538461538463,16,40,6,9,True,True,2,2,True,9,1,0.1111111111111111,-0.06076893661763448,0.15340909090909083,True
05abf8a796dc7630,Milan,service,2016Q2,2016Q1,0.33999999999999986,15,10,3,9,True,True,2,2,True,9,0,0.0,-0.047976688255811126,0.1071428571428572,True
05d7dbae5b1a4136,Amsterdam,service,2017Q1,2016Q4,0.1977094635322485,69,53,6,5,True,True,2,2,True,10,2,0.2,0.042811010024561356,0.24019607843137258,True
05d7dbae5b1a4136,Amsterdam,value,2017Q1,2016Q4,0.22924901185770752,13,12,6,5,True,True,2,2,True,10,0,0.0,-0.05981584149401233,0.09761549925484347,True
06771576c37d666d,London,cleanliness,2016Q3,2016Q2,0.30641821946169756,11,13,4,9,True,True,2,2,True,10,0,0.0,-0.08668382185906723,0.14166666666666683,True
06771576c37d666d,London,room,2016Q1,2015Q4,0.17923920051579623,23,37,2,9,True,True,2,2,True,10,5,0.5,0.16686816126736614,0.42481203007518786,True
06771576c37d666d,London,room,2016Q3,2016Q2,0.2828947368421053,47,38,4,9,True,True,2,2,True,10,0,0.0,-0.06450517518874058,0.08381253053707671,True
06771576c37d666d,London,service,2016Q2,2016Q1,0.17045454545454541,22,12,3,9,True,True,2,2,True,10,0,0.0,-0.006463535113212071,0.13903743315508033,True
06771576c37d666d,London,service,2017Q1,2016Q4,0.23020527859237538,21,34,6,9,True,True,2,2,True,10,1,0.1,0.06698901892611243,0.4292929292929293,True
06771576c37d666d,London,value,2016Q2,2016Q1,0.18333333333333335,5,6,3,9,True,True,2,2,True,10,2,0.2,-0.025936235587848078,0.339527027027027,True
06a10508c67025f4,Barcelona,cleanliness,2016Q3,2016Q2,0.3666666666666666,5,2,4,9,True,True,2,2,True,10,2,0.2,0.0176302849197586,0.33333333333333326,True
06a10508c67025f4,Barcelona,location,2016Q2,2016Q1,0.375,6,0,3,9,True,True,2,2,True,10,2,0.2,0.10310536685536684,0.32307692307692304,True
06a10508c67025f4,Barcelona,location,2017Q1,2016Q4,0.2321428571428572,6,4,6,9,True,True,2,2,True,10,3,0.3,-0.06766858012988045,0.18382352941176472,True
06a10508c67025f4,Barcelona,noise,2016Q3,2016Q2,0.25,6,2,4,9,True,True,2,2,True,10,4,0.4,0.08168203313714148,0.2857142857142857,True
06a10508c67025f4,Barcelona,room,2016Q3,2016Q2,0.5026737967914437,12,7,4,9,True,True,2,2,True,10,2,0.2,0.018797310128686184,0.33333333333333326,True
06a10508c67025f4,Barcelona,service,2016Q3,2016Q2,0.23809523809523814,11,4,4,9,True,True,2,2,True,10,1,0.1,0.004932884224066569,0.22777777777777763,True
06a10508c67025f4,Barcelona,service,2017Q1,2016Q4,0.16666666666666652,5,2,6,9,True,True,2,2,True,10,1,0.1,-0.0033081168917082015,0.625,True
0725041a236b5b9a,Barcelona,location,2017Q1,2016Q4,0.19047619047619047,5,4,6,9,True,True,2,2,True,10,1,0.1,-0.025780376687968554,0.16842105263157903,True
0725041a236b5b9a,Barcelona,room,2016Q1,2015Q4,0.2777777777777777,8,26,2,9,True,True,2,2,True,8,1,0.125,-0.022708985033153814,0.21111111111111103,True
07d42c0098c1eaef,London,breakfast,2016Q1,2015Q4,0.22077922077922074,12,11,2,9,True,True,2,2,True,8,1,0.125,-0.003793160746915769,0.19715447154471544,True
